Round,Group,Date,Day,home_team,away_team,venue,city,time_local,utc_offset,time_utc,score
Group stage,A,2026-06-11,Thursday,Mexico,South Africa,Estadio Azteca,"Mexico City, Mexico",13:00,UTC-6,19:00,
Group stage,A,2026-06-11,Thursday,Korea Republic,Czechia,Estadio Akron,"Zapopan, Mexico",20:00,UTC-6,02:00,
Group stage,B,2026-06-12,Friday,Canada,Bosnia-Herzegovina,BMO Field,"Toronto, Canada",15:00,UTC-4,19:00,
Group stage,D,2026-06-12,Friday,United States,Paraguay,SoFi Stadium,"Inglewood, USA",18:00,UTC-7,01:00,
Group stage,B,2026-06-13,Saturday,Qatar,Switzerland,Levi's Stadium,"Santa Clara, USA",12:00,UTC-7,19:00,
Group stage,C,2026-06-13,Saturday,Brazil,Morocco,MetLife Stadium,"East Rutherford, USA",18:00,UTC-4,22:00,
Group stage,C,2026-06-13,Saturday,Haiti,Scotland,Gillette Stadium,"Foxborough, USA",21:00,UTC-4,01:00,
Group stage,D,2026-06-13,Saturday,Australia,Türkiye,BC Place,"Vancouver, Canada",21:00,UTC-7,04:00,
Group stage,E,2026-06-14,Sunday,Germany,Curaçao,NRG Stadium,"Houston, USA",12:00,UTC-5,17:00,
Group stage,F,2026-06-14,Sunday,Netherlands,Japan,AT&T Stadium,"Arlington, USA",15:00,UTC-5,20:00,
Group stage,E,2026-06-14,Sunday,Côte d'Ivoire,Ecuador,Lincoln Financial Field,"Philadelphia, USA",19:00,UTC-4,23:00,
Group stage,F,2026-06-14,Sunday,Sweden,Tunisia,Estadio BBVA,"Guadalupe, Mexico",20:00,UTC-6,02:00,
Group stage,G,2026-06-15,Monday,Belgium,Egypt,Lumen Field,"Seattle, USA",12:00,UTC-7,19:00,
Group stage,H,2026-06-15,Monday,Spain,Cape Verde,Mercedes-Benz Stadium,"Atlanta, USA",12:00,UTC-4,16:00,
Group stage,G,2026-06-15,Monday,IR Iran,New Zealand,SoFi Stadium,"Inglewood, USA",18:00,UTC-7,01:00,
Group stage,H,2026-06-15,Monday,Saudi Arabia,Uruguay,Hard Rock Stadium,"Miami Gardens, USA",18:00,UTC-4,22:00,
Group stage,I,2026-06-16,Tuesday,France,Senegal,MetLife Stadium,"East Rutherford, USA",15:00,UTC-4,19:00,
Group stage,I,2026-06-16,Tuesday,Iraq,Norway,Gillette Stadium,"Foxborough, USA",18:00,UTC-4,22:00,
Group stage,J,2026-06-16,Tuesday,Argentina,Algeria,Arrowhead Stadium,"Kansas City, USA",20:00,UTC-5,01:00,
Group stage,J,2026-06-16,Tuesday,Austria,Jordan,Levi's Stadium,"Santa Clara, USA",21:00,UTC-7,04:00,
Group stage,K,2026-06-17,Wednesday,Portugal,Congo DR,NRG Stadium,"Houston, USA",12:00,UTC-5,17:00,
Group stage,L,2026-06-17,Wednesday,England,Croatia,AT&T Stadium,"Arlington, USA",15:00,UTC-5,20:00,
Group stage,L,2026-06-17,Wednesday,Ghana,Panama,BMO Field,"Toronto, Canada",19:00,UTC-4,23:00,
Group stage,K,2026-06-17,Wednesday,Uzbekistan,Colombia,Estadio Azteca,"Mexico City, Mexico",20:00,UTC-6,02:00,
Group stage,A,2026-06-18,Thursday,Czechia,South Africa,Mercedes-Benz Stadium,"Atlanta, USA",12:00,UTC-4,16:00,
Group stage,B,2026-06-18,Thursday,Switzerland,Bosnia-Herzegovina,SoFi Stadium,"Inglewood, USA",12:00,UTC-7,19:00,
Group stage,B,2026-06-18,Thursday,Canada,Qatar,BC Place,"Vancouver, Canada",15:00,UTC-7,22:00,
Group stage,A,2026-06-18,Thursday,Mexico,Korea Republic,Estadio Akron,"Zapopan, Mexico",19:00,UTC-6,01:00,
Group stage,D,2026-06-19,Friday,United States,Australia,Lumen Field,"Seattle, USA",12:00,UTC-7,19:00,
Group stage,C,2026-06-19,Friday,Scotland,Morocco,Gillette Stadium,"Foxborough, USA",18:00,UTC-4,22:00,
Group stage,D,2026-06-19,Friday,Türkiye,Paraguay,Levi's Stadium,"Santa Clara, USA",20:00,UTC-7,03:00,
Group stage,C,2026-06-19,Friday,Brazil,Haiti,Lincoln Financial Field,"Philadelphia, USA",20:30,UTC-4,00:30,
Group stage,F,2026-06-20,Saturday,Netherlands,Sweden,NRG Stadium,"Houston, USA",12:00,UTC-5,17:00,
Group stage,E,2026-06-20,Saturday,Germany,Côte d'Ivoire,BMO Field,"Toronto, Canada",16:00,UTC-4,20:00,
Group stage,E,2026-06-20,Saturday,Ecuador,Curaçao,Arrowhead Stadium,"Kansas City, USA",19:00,UTC-5,00:00,
Group stage,F,2026-06-20,Saturday,Tunisia,Japan,Estadio BBVA,"Guadalupe, Mexico",22:00,UTC-6,04:00,
Group stage,G,2026-06-21,Sunday,Belgium,IR Iran,SoFi Stadium,"Inglewood, USA",12:00,UTC-7,19:00,
Group stage,H,2026-06-21,Sunday,Spain,Saudi Arabia,Mercedes-Benz Stadium,"Atlanta, USA",12:00,UTC-4,16:00,
Group stage,G,2026-06-21,Sunday,New Zealand,Egypt,BC Place,"Vancouver, Canada",18:00,UTC-7,01:00,
Group stage,H,2026-06-21,Sunday,Uruguay,Cape Verde,Hard Rock Stadium,"Miami Gardens, USA",18:00,UTC-4,22:00,
Group stage,J,2026-06-22,Monday,Argentina,Austria,AT&T Stadium,"Arlington, USA",12:00,UTC-5,17:00,
Group stage,I,2026-06-22,Monday,France,Iraq,Lincoln Financial Field,"Philadelphia, USA",17:00,UTC-4,21:00,
Group stage,I,2026-06-22,Monday,Norway,Senegal,MetLife Stadium,"East Rutherford, USA",20:00,UTC-4,00:00,
Group stage,J,2026-06-22,Monday,Jordan,Algeria,Levi's Stadium,"Santa Clara, USA",20:00,UTC-7,03:00,
Group stage,K,2026-06-23,Tuesday,Portugal,Uzbekistan,NRG Stadium,"Houston, USA",12:00,UTC-5,17:00,
Group stage,L,2026-06-23,Tuesday,England,Ghana,Gillette Stadium,"Foxborough, USA",16:00,UTC-4,20:00,
Group stage,L,2026-06-23,Tuesday,Panama,Croatia,BMO Field,"Toronto, Canada",19:00,UTC-4,23:00,
Group stage,K,2026-06-23,Tuesday,Colombia,Congo DR,Estadio Akron,"Zapopan, Mexico",20:00,UTC-6,02:00,
Group stage,B,2026-06-24,Wednesday,Switzerland,Canada,BC Place,"Vancouver, Canada",12:00,UTC-7,19:00,
Group stage,B,2026-06-24,Wednesday,Bosnia-Herzegovina,Qatar,Lumen Field,"Seattle, USA",12:00,UTC-7,19:00,
Group stage,C,2026-06-24,Wednesday,Scotland,Brazil,Hard Rock Stadium,"Miami Gardens, USA",18:00,UTC-4,22:00,
Group stage,C,2026-06-24,Wednesday,Morocco,Haiti,Mercedes-Benz Stadium,"Atlanta, USA",18:00,UTC-4,22:00,
Group stage,A,2026-06-24,Wednesday,Czechia,Mexico,Estadio Azteca,"Mexico City, Mexico",19:00,UTC-6,01:00,
Group stage,A,2026-06-24,Wednesday,South Africa,Korea Republic,Estadio BBVA,"Guadalupe, Mexico",19:00,UTC-6,01:00,
Group stage,E,2026-06-25,Thursday,Curaçao,Côte d'Ivoire,Lincoln Financial Field,"Philadelphia, USA",16:00,UTC-4,20:00,
Group stage,E,2026-06-25,Thursday,Ecuador,Germany,MetLife Stadium,"East Rutherford, USA",16:00,UTC-4,20:00,
Group stage,F,2026-06-25,Thursday,Japan,Sweden,AT&T Stadium,"Arlington, USA",18:00,UTC-5,23:00,
Group stage,F,2026-06-25,Thursday,Tunisia,Netherlands,Arrowhead Stadium,"Kansas City, USA",18:00,UTC-5,23:00,
Group stage,D,2026-06-25,Thursday,Türkiye,United States,SoFi Stadium,"Inglewood, USA",19:00,UTC-7,02:00,
Group stage,D,2026-06-25,Thursday,Paraguay,Australia,Levi's Stadium,"Santa Clara, USA",19:00,UTC-7,02:00,
Group stage,I,2026-06-26,Friday,Norway,France,Gillette Stadium,"Foxborough, USA",15:00,UTC-4,19:00,
Group stage,I,2026-06-26,Friday,Senegal,Iraq,BMO Field,"Toronto, Canada",15:00,UTC-4,19:00,
Group stage,H,2026-06-26,Friday,Uruguay,Spain,Estadio Akron,"Zapopan, Mexico",18:00,UTC-6,00:00,
Group stage,H,2026-06-26,Friday,Cape Verde,Saudi Arabia,NRG Stadium,"Houston, USA",19:00,UTC-5,00:00,
Group stage,G,2026-06-26,Friday,Egypt,IR Iran,Lumen Field,"Seattle, USA",20:00,UTC-7,03:00,
Group stage,G,2026-06-26,Friday,New Zealand,Belgium,BC Place,"Vancouver, Canada",20:00,UTC-7,03:00,
Group stage,L,2026-06-27,Saturday,Panama,England,MetLife Stadium,"East Rutherford, USA",17:00,UTC-4,21:00,
Group stage,L,2026-06-27,Saturday,Croatia,Ghana,Lincoln Financial Field,"Philadelphia, USA",17:00,UTC-4,21:00,
Group stage,K,2026-06-27,Saturday,Colombia,Portugal,Hard Rock Stadium,"Miami Gardens, USA",19:30,UTC-4,23:30,
Group stage,K,2026-06-27,Saturday,Congo DR,Uzbekistan,Mercedes-Benz Stadium,"Atlanta, USA",19:30,UTC-4,23:30,
Group stage,J,2026-06-27,Saturday,Algeria,Austria,Arrowhead Stadium,"Kansas City, USA",21:00,UTC-5,02:00,
Group stage,J,2026-06-27,Saturday,Jordan,Argentina,AT&T Stadium,"Arlington, USA",21:00,UTC-5,02:00,
Third place,,2026-07-18,Saturday,TBD,TBD,Hard Rock Stadium,"Miami Gardens, USA",17:00,UTC-4,21:00,
Final,,2026-07-19,Sunday,TBD,TBD,MetLife Stadium,"East Rutherford, USA",15:00,UTC-4,19:00,
